id,"show","title",order
440,"30","Astro/Jack the Ripper (Screaming Lord Sutch)",17
441,"30","I’m Bored (Iggy Pop)",18
442,"30","Sugar Never Tasted So Good",19
443,"30","Truth Doesn’t Make a Noise",20
444,"30","Screwdriver",21
445,"30","Stop Breakin’ Down (Robert Johnson)",22
446,"31","Let’s Shake Hands",0
447,"31","When I Hear My Name",1
448,"31","Jolene (Parton)",2
449,"31","You’re Pretty Good Looking",3
450,"31","Hello Operator",4
451,"31","Lord, Send Me an Angel (Blind Willie McTell)",5
452,"31","Dead Leaves and the Dirty Ground",6
453,"31","Death Letter (Son House)",7
454,"31","Little Bird",8
455,"31","Broken Bricks",9
456,"31","I’m Bored (Iggy Pop)",10
457,"31","Wasting My Time",11
458,"31","Truth Doesn’t Make a Noise",12
459,"31","Sugar Never Tasted So Good",13
460,"31","Suzy Lee",14
461,"31","Let’s Build a Home/Goin’ Back to Memphis (Henry and June)",15
462,"31","Screwdriver",16
463,"32","Dead Leaves and the Dirty Ground",0
464,"32","You’re Pretty Good Looking",1
465,"32","Hello Operator",2
466,"32","Lord Send Me An Angel",3
467,"32","Broken Bricks",4
468,"32","I’m Bored",5
469,"32","Let’s Shake Hands",6
470,"32","Apple Blossom",7
471,"32","Sister Do You Know My Name/Suzy Lee",8
472,"32","Let’s Build A Home/Goin’ Back To Memphis",9
473,"32","Jolene (D. Parton)",10
474,"32","Truth Doesn’t Make A Noise",11
475,"32","Do",12
476,"32","Astro/Jack The Ripper",13
477,"32","Red Death At 6:14",14
478,"32","Your Southern Can Is Mine",15
479,"32","Look Me Over Closely",16
480,"33","Let There Be Rock (AC/DC)",0
481,"33","Dog Eat Dog (AC/DC)",1
482,"33","You’re Pretty Good Looking",2
483,"33","Hello Operator",3
484,"33","Death Letter (Son House)",4
485,"33","Little Bird",5
486,"33","Lord, Send Me an Angel (Blind Willie McTell)",6
487,"33","Dead Leaves and the Dirty Ground",7
488,"33","Apple Blossom",8
489,"33","Broken Bricks",9
490,"33","Cannon",10
491,"33","Truth Doesn’t Make a Noise",11
492,"33","Jolene (Parton)",12
493,"33","I’m Bored (Iggy Pop)",13
494,"33","Let’s Build a Home/Goin’ Back to Memphis (Henry and June)",14
495,"33","After Hours (Velvet Underground)",15
496,"34","Death Letter (Son House)",0
497,"34","When I Hear My Name",1
498,"34","Let’s Shake Hands",2
499,"34","The Big Three Killed My Baby",3
500,"34","Lord, Send Me An Angel",4
501,"34","You’re Pretty Good Looking",5
502,"34","Hello Operator",6
503,"34","Jolene (D.Parton)",7
504,"34","Apple Blossom",8
505,"34","Dead Leaves and the Dirty Ground",9
506,"34","Hotel Yorba",10
507,"34","Wasting My Time",11
508,"34","The Union Forever",12
509,"34","Screwdriver",13
510,"34","Fell in Love With a Girl",14
511,"34","Look Me Over Closely",15
512,"35","The Big Three Killed My Baby",0
513,"35","Let’s Shake Hands",1
514,"35","When I Hear My Name",2
515,"35","You’re Pretty Good Looking",3
516,"35","Hello Operator",4
517,"35","Jolene (D.Parton)",5
518,"35","Death Letter (Son House)",6
519,"35","Dead Leaves and the Dirty Ground",7
520,"35","Lord, Send Me An Angel",8
521,"35","Fell in Love With a Girl",9
522,"35","Apple Blossom",10
523,"35","Sugar Never Tasted So Good",11
524,"35","Truth Doesn’t Make a Noise",12
525,"35","Hotel Yorba",13
526,"35","Astro",14
527,"35","Jack The Ripper (Screaming Lord Sutch)",15
528,"35","Cannon",16
529,"35","Screwdriver",17
530,"35","Little Room",18
531,"35","Look Me Over Closely",19
532,"36","Your Southern Can is Mine (Blind Willie McTell)",0
533,"36","Let’s Shake Hands",1
534,"36","When I Hear My Name",2
535,"36","Jolene (Parton)",3
536,"36","You’re Pretty Good Looking",4
537,"36","Hello Operator",5
538,"36","Truth Doesn’t Make a Noise",6
539,"36","Stop Breakin’ Down (Robert Johnson)",7
540,"36","Death Letter (Son House)",8
541,"36","Lord, Send Me an Angel (Blind Willie McTell)",9
542,"36","Apple Blossom",10
543,"36","We Are Going to Be Friends",11
544,"36","Wasting My Time",12
545,"36","Astro/Jack the Ripper (Screaming Lord Sutch)",13
546,"36","The Big Three Killed My Baby",14
547,"36","Dead Leaves and the Dirty Ground",15
548,"36","Screwdriver",16
549,"36","Sugar Never Tasted So Good",17
550,"36","One More Cup of Coffee (Bob Dylan)",18
551,"36","Look Me Over Closely (Terry Gilkyson)",19
552,"37","Death Letter (Son House)",0
553,"37","Little Bird",1
554,"37","Let’s Shake Hands",2
555,"37","When I hear My Name",3
556,"37","Jolene (D.Parton)",4
557,"37","Lord Send Me An Angel",5
558,"37","Pretty Good Looking",6
559,"37","Hello Operator",7
560,"37","Dead Leaves and the Dirty Ground",8
561,"37","Astro",9
562,"37","Jack The Ripper (Screaming Lord Sutch)",10
563,"37","Cannon",11
564,"37","Apple Blossom",12
565,"37","Hotel Yorba",13
566,"37","Do",14
567,"37","Boll Weevil (Leadbelly)",15
568,"37","Screwdriver",16
569,"38","Let’s Shake Hands",0
570,"38","When I Hear My Name",1
571,"38","The Big Three Killed My Baby",2
572,"38","Jolene (Parton)",3
573,"38","You’re Pretty Good Looking",4
574,"38","Lord, Send Me an Angel (Blind Willie McTell)",5
575,"38","Wasting My Time",6
576,"38","Sugar Never Tasted So Good",7
577,"38","Dead Leaves and the Dirty Ground",8
578,"38","Hotel Yorba",9
579,"38","Apple Blossom",10
580,"38","Death Letter (Son House)",11
581,"38","Astro",12
582,"38","Hello Operator",13
583,"38","Broken Bricks",14
584,"38","Cannon ",15
585,"38","Boll Weevil (Trad./Leadbelly)",16
586,"38","Same Boy You’ve Always Known",17
587,"38","Screwdriver",18
588,"38","Sister, Do You Know My Name",19
589,"38","Suzy Lee",20
590,"39","Let’s Shake Hands",0
591,"39","When I Hear My Name",1
592,"39","Jolene (Parton)",2
593,"39","You’re Pretty Good Looking",3
594,"39","Lord, Send Me an Angel (Blind Willie McTell)",4
595,"39","Death Letter (Son House)",5
596,"39","Astro/Jack the Ripper (Screaming Lord Sutch)",6
597,"39","The Big Three Killed My Baby",7
598,"39","Boll Weevil (Trad./Leadbelly)",8
599,"39","Wasting My Time",9
600,"39","Dead Leaves and the Dirty Ground",10
601,"39","Hotel Yorba",11
602,"39","Hello Operator",12
603,"39","Broken Bricks",13
604,"39","I’m Bored (Iggy Pop)",14
605,"39","Screwdriver",15
606,"39","Apple Blossom",16
607,"39","Look Me Over Closely (Terry Gilkyson)",17
608,"40","Death Letter (Son House)",0
609,"40","Little Bird",1
610,"40","Let’s Shake Hands",2
611,"40","When I Hear My Name",3
612,"40","I Think I Smell a Rat",4
613,"40","You’re Pretty Good Looking",5
614,"40","Hello Operator",6
615,"40","Your Southern Can is Mine (Blind Willie McTell)",7
616,"40","Do",8
617,"40","Dead Leaves and the Dirty Ground",9
618,"40","Hotel Yorba",10
619,"40","Apple Blossom",11
620,"40","Astro/Jack the Ripper (Screaming Lord Sutch)",12
621,"40","Cannon",13
622,"40","I’m Bored (Iggy Pop)",14
623,"40","Screwdriver",15
624,"41","Let’s Shake Hands",0
625,"41","When I Hear My Name",1
626,"41","Jolene (D.Parton)",2
627,"41","You’re Pretty Good Looking",3
628,"41","Hello Operator",4
629,"41","Dead Leaves and the Dirty Ground",5
630,"41","We’re Going To Be Friends",6
631,"41","Hotel Yorba",7
632,"41","Astro",8
633,"41","Jack The Ripper (Screaming Lord Sutch)",9
634,"41","Wasting My Time",10
635,"41","Death Letter (Son House)",11
636,"41","Stop Breaking Down",12
637,"41","Apple Blossom",13
638,"41","Do",14
639,"41","Boll Weevil (Leadbelly)",15
640,"41","Your Southern Can Is Mine",16
641,"41","Broken Bricks",17
642,"41","St. James Infirmary Blues",18
643,"41","Shakin’ All Over/Sugar Never Tasted So Good",19
644,"41","Screwdriver",20
645,"41","I Think I Smell A Rat",21
646,"41","Little Room",22
647,"41","The Big 3 Killed My Baby",23
648,"41","Look Me Over Closely",24
649,"42","Dead Leaves and the Dirty Ground",0
650,"42","Hotel Yorba",1
651,"42","I’m Finding it Harder to Be a Gentleman",2
652,"42","Fell in Love with a Girl",3
653,"42","Expecting",4
654,"42","Little Room",5
655,"42","The Union Forever",6
656,"42","The Same Boy You’ve Always Known",7
657,"42","We’re Going to Be Friends",8
658,"42","Offend in Every Way",9
659,"42","I Think I Smell a Rat",10
660,"42","Aluminum",11
661,"42","I Can’t Wait",12
662,"42","Now Mary",13
663,"42","I Can Learn",14
664,"42","This Protector",15
665,"42","Let’s Shake Hands",16
666,"42","When I Hear My Name",17
667,"42","You’re Pretty Good Looking",18
668,"42","Look Me Over Closely (Terry Gilkyson)",19
669,"43","Let’s Shake Hands",0
670,"43","When I Hear My Name",1
671,"43","Broken Bricks",2
672,"43","Jolene (Parton)",3
673,"43","Dead Leaves and the Dirty Ground",4
674,"43","Hotel Yorba",5
675,"43","Expecting",6
676,"43","I Think I Smell a Rat",7
677,"43","I’m Finding it Harder to Be a Gentleman",8
678,"43","The Union Forever",9
679,"43","We are Going to Be Friends",10
680,"43","Death Letter (Son House)",11
681,"43","You’re Pretty Good Looking",12
682,"43","Little Bird",13
683,"43","Hello Operator",14
684,"43","Your Southern Can is Mine (Blind Willie McTell)",15
685,"43","Wasting My Time",16
686,"43","Screwdriver",17
687,"43","Fell in Love with a Girl",18
688,"43","Little Room",19
689,"43","Look Me Over Closely (Terry Gilkyson)",20
690,"44","Let’s Shake Hands",0
691,"44","When I Hear My Name",1
692,"44","Jolene (Parton)",2
693,"44","Dead Leaves and the Dirty Ground",3
694,"44","Hotel Yorba",4
695,"44","I’m Finding it Harder to Be a Gentleman",5
696,"44","We Are Going to Be Friends",6
697,"44","Death Letter (Son House)",7
698,"44","Little Room",8
699,"44","The Union Forever",9
700,"44","I Think I Smell a Rat",10
701,"44","You’re Pretty Good Looking",11
702,"44","Lord, Send Me an Angel (Blind Willie McTell)",12
703,"44","Fell in Love with a Girl",13
704,"44","Expecting",14
705,"44","Screwdriver",15
706,"44","Astro/Farmer John (Don ""Sugarcane"" Harris)",16
707,"44","Look Me Over Closely (Terry Gilkyson)",17
708,"45","Let’s Shake Hands",0
709,"45","When I Hear My Name",1
710,"45","Jolene (Parton)",2
711,"45","Do",3
712,"45","You’re Pretty Good Looking",4
713,"45","Death Letter (Son House)",5
714,"45","Suzy Lee",6
715,"45","Little Bird",7
716,"45","I’m Finding It Harder to Be a Gentleman",8
717,"45","Dead Leaves and the Dirty Ground",9
718,"45","Dyin’ Crapshooter’s Blues (Blind Willie McTell)",10
719,"45","The Union Forever",11
720,"45","Expecting",12
721,"45","Hotel Yorba",13
722,"45","We Are Going to Be Friends",14
723,"45","Truth Doesn’t Make a Noise",15
724,"45","Astro",16
725,"45","Cannon",17
726,"45","Screwdriver",18
727,"45","Apple Blossom",19
728,"45","The Big Three Killed My Baby",20
729,"45","Boll Weevil (Trad./Leadbelly)",21
730,"45","Fell in Love with a Girl",22
731,"45","Look Me Over Closely (Terry Gilkyson)",23
732,"46","Let’s Shake Hands",0
733,"46","When I Hear My Name",1
734,"46","Astro/Jack the Ripper (Screaming Lord Sutch)",2
735,"46","The Big Three Killed My Baby",3
736,"46","Lord, Send Me an Angel (Blind Willie McTell)",4
737,"46","Dead Leaves and the Dirty Ground",5
738,"46","Hotel Yorba",6
739,"46","I’m Finding it Harder to be a Gentleman",7
740,"46","Expecting",8
741,"46","I Think I Smell a Rat",9
742,"46","Wasting My Time",10
743,"46","You’re Pretty Good Looking ",11
744,"46","Hello Operator",12
745,"46","Stop Breakin’ Down (Robert Johnson)",13
746,"46","St. James Infirmary (Trad.)",14
747,"46","The Union Forever",15
748,"46","Jolene (Parton)",16
749,"46","Screwdriver",17
750,"46","Little Room",18
751,"46","Fell in Love with a Girl",19
752,"46","Apple Blossom",20
753,"46","Look Me Over Closely (Terry Gilkyson)",21
754,"47","Let’s Shake Hands",0
755,"47","When I hear My name",1
756,"47","Dead Leaves and the Dirty Ground",2
